manufacturer,oem,prefix,name,suffix,vram,gddr,price,link
NVIDIA,微星,RTX,4070,,12,6,20990,https://24h.pchome.com.tw/prod/DRADLA-A900GKW2K
AMD,,RX,7600,,8,6,8990,https://24h.pchome.com.tw/prod/DRADNG-A900GH7PH
NVIDIA,技嘉,RTX,4060,,,,9790,https://24h.pchome.com.tw/prod/DRADL2-A900GQOS1
NVIDIA,技嘉,RTX,4070,,12,6,19090,https://24h.pchome.com.tw/prod/DRADL2-A900G80D2
NVIDIA,微星,RTX,4070,Ti,12,6,23990,https://24h.pchome.com.tw/prod/DRAD1R-A900FZJRC
NVIDIA,微星,RTX,3050,,8,6,6890,https://24h.pchome.com.tw/prod/DRADLA-A900GI3MW
NVIDIA,華碩,RTX,4060,Ti,16,6,17490,https://24h.pchome.com.tw/prod/DRADKY-A900GQ7LY
NVIDIA,華碩,GTX,1650,Ti,4,6,4490,https://24h.pchome.com.tw/prod/DRADKY-A900GJJGD
AMD,,RX,7600,,,6,8999,https://24h.pchome.com.tw/prod/DRADO1-A900GZ5X6
NVIDIA,華碩,RTX,4060,,8,6,10590,https://24h.pchome.com.tw/prod/DRADKY-A900GI4LE
NVIDIA,華碩,RTX,4060,Ti,8,6,12990,https://24h.pchome.com.tw/prod/DRADKY-A900GJJ32
NVIDIA,微星,RTX,4060,,17,6,9990,https://24h.pchome.com.tw/prod/DRADLA-A900GL1SM
NVIDIA,微星,GTX,1660,Super,6,6,6490,https://24h.pchome.com.tw/prod/DRADKY-A900GYJS6
NVIDIA,華碩,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADKY-A900GI4JH
NVIDIA,索泰,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADLX-A900GECSN
NVIDIA,華碩,RTX,4070,Ti,12,6,24990,https://24h.pchome.com.tw/prod/DRADKY-A900GCLIM
NVIDIA,華碩,RTX,4060,Ti,8,6,12990,https://24h.pchome.com.tw/prod/DRADKY-A900GKASE
NVIDIA,映眾,GTX,1650,,4,6,4088,https://24h.pchome.com.tw/prod/DRADGJ-A900GC4AR
NVIDIA,華碩,RTX,4070,,12,6,24490,https://24h.pchome.com.tw/prod/DRADOG-A900GLNPV
